datetime,max_temp,min_temp,temp,precip,humidity,wind_gust,wind_speed,wind_dir,visibility,cloud_cover
2024-07-31,65.33,51.7,58.33,0.07,78.16,20.82,12.84,187.33,14.28,68.88
2024-08-31,65.9,52.61,59.1,0.09,77.32,28.56,18.26,227.15,9.58,63.63
2024-09-30,58.91,47.1,53.17,0.07,84.7,19.15,12.34,159.64,10.73,71.19
2024-10-31,55.87,44.76,50.76,0.08,85.22,23.27,14.58,184.52,12.95,66.04
2024-11-30,49.32,38.33,43.6,0.03,88.93,20.33,12.26,226.02,12.69,64.3
2024-12-31,48.62,39.89,44.47,0.08,87.94,29.19,18.14,243.76,16.25,75.87
2025-01-31,42.75,33.61,38.16,0.08,85.19,21.86,14.01,225.3,40.29,58.97
2025-02-28,45.67,36.68,41.31,0.05,80.76,24.74,15.04,154.86,40.43,70.96
2025-03-31,52.09,38.83,45.09,0.02,77.69,23.76,15.48,186.19,38.15,61.98
2025-04-30,56.67,40.47,48.79,0.03,75.45,20.33,13.22,140.02,31.37,54.69
2025-05-31,62.6,43.57,53.23,0.05,71.37,22.52,14.61,155.48,24.81,52.98
2025-06-30,64.87,50.6,57.96,0.1,76.04,25.05,15.55,212.94,22.64,72.29
2025-07-31,68.33,54.45,61.29,0.08,80.36,19.48,12.76,195.89,22.63,75.34
2025-08-31,68.63,53.89,60.97,0.03,75.15,23.83,14.78,186.96,13.5,65.55
2025-09-30,62.09,47.65,55.05,0.07,77.11,25.09,13.89,214.31,14.54,59.61
2025-10-31,55.69,46.16,50.8,0.07,82.85,26.74,15.26,236.28,14.29,71.98
2025-11-30,49.6,39.53,44.81,0.18,83.63,28.55,15.25,212.14,12.5,67.61
2025-12-31,47.63,38.41,43.73,0.1,85.44,29.34,16.47,157.06,13.29,69.32
2026-01-31,42.21,33.94,38.15,0.07,85.57,29.29,14.87,161.96,12.7,68.29
2026-02-28,45.54,37.87,41.88,0.09,84.75,29.86,15.39,151.81,12.13,79.87
2026-03-31,50.29,37.04,43.85,0.07,76.12,36.06,19.92,227.19,9.36,65.37
2026-04-30,49.07,39.53,44.17,0.06,74.5,33.93,14.27,254.23,12.97,77.6
